범죄종류,대분류,중분류,질문답변,비율
몸캠,학령별,초등학교,매우 문제가 된다,85.7
몸캠,학령별,중학교,전혀 문제가 되지 않는다,0.8
몸캠,학령별,중학교,문제가 되지 않는다,2.5
몸캠,학령별,중학교,문제가 된다,10.4
몸캠,학령별,중학교,매우 문제가 된다,86.2
몸캠,학령별,고등학교,전혀 문제가 되지 않는다,0.7
몸캠,학령별,고등학교,문제가 되지 않는다,3.7
몸캠,학령별,고등학교,문제가 된다,11.6
몸캠,학령별,고등학교,매우 문제가 된다,84
몸캠,권역별,수도권,전혀 문제가 되지 않는다,0.7
몸캠,권역별,수도권,문제가 되지 않는다,3.2
몸캠,권역별,수도권,문제가 된다,11.4
몸캠,권역별,수도권,매우 문제가 된다,84.7
몸캠,권역별,충청권,전혀 문제가 되지 않는다,0.8
몸캠,권역별,충청권,문제가 되지 않는다,2.9
몸캠,권역별,충청권,문제가 된다,11.2
몸캠,권역별,충청권,매우 문제가 된다,85.1
몸캠,권역별,호남권,전혀 문제가 되지 않는다,2.2
몸캠,권역별,호남권,문제가 되지 않는다,1.6
몸캠,권역별,호남권,문제가 된다,8.7
몸캠,권역별,호남권,매우 문제가 된다,87.4
몸캠,권역별,동북권,전혀 문제가 되지 않는다,1.3
몸캠,권역별,동북권,문제가 되지 않는다,3.2
몸캠,권역별,동북권,문제가 된다,10.4
몸캠,권역별,동북권,매우 문제가 된다,85.2
몸캠,권역별,동남권,전혀 문제가 되지 않는다,1.4
몸캠,권역별,동남권,문제가 되지 않는다,3.1
몸캠,권역별,동남권,문제가 된다,9.5
몸캠,권역별,동남권,매우 문제가 된다,86
몸캠,인터넷 이용 시간별,1시간 미만,전혀 문제가 되지 않는다,1.7
몸캠,인터넷 이용 시간별,1시간 미만,문제가 되지 않는다,4.4
몸캠,인터넷 이용 시간별,1시간 미만,문제가 된다,9.3
몸캠,인터넷 이용 시간별,1시간 미만,매우 문제가 된다,84.5
몸캠,인터넷 이용 시간별,1~2시간 미만,전혀 문제가 되지 않는다,1.4
몸캠,인터넷 이용 시간별,1~2시간 미만,문제가 되지 않는다,4.4
몸캠,인터넷 이용 시간별,1~2시간 미만,문제가 된다,12
몸캠,인터넷 이용 시간별,1~2시간 미만,매우 문제가 된다,82.3
몸캠,인터넷 이용 시간별,2~3시간 미만,전혀 문제가 되지 않는다,0.7
몸캠,인터넷 이용 시간별,2~3시간 미만,문제가 되지 않는다,2.7
몸캠,인터넷 이용 시간별,2~3시간 미만,문제가 된다,12.1
몸캠,인터넷 이용 시간별,2~3시간 미만,매우 문제가 된다,84.5
몸캠,인터넷 이용 시간별,3~4시간 미만,전혀 문제가 되지 않는다,1.3
몸캠,인터넷 이용 시간별,3~4시간 미만,문제가 되지 않는다,2.6
몸캠,인터넷 이용 시간별,3~4시간 미만,문제가 된다,9.6
몸캠,인터넷 이용 시간별,3~4시간 미만,매우 문제가 된다,86.4
몸캠,인터넷 이용 시간별,4시간 이상,전혀 문제가 되지 않는다,0.9
몸캠,인터넷 이용 시간별,4시간 이상,문제가 되지 않는다,1.6
몸캠,인터넷 이용 시간별,4시간 이상,문제가 된다,8.9
몸캠,인터넷 이용 시간별,4시간 이상,매우 문제가 된다,88.7
몸캠,가정형편별,상위,전혀 문제가 되지 않는다,1.3
몸캠,가정형편별,상위,문제가 되지 않는다,2.9
몸캠,가정형편별,상위,문제가 된다,10.3
몸캠,가정형편별,상위,매우 문제가 된다,85.5
몸캠,가정형편별,중위,전혀 문제가 되지 않는다,0.8
몸캠,가정형편별,중위,문제가 되지 않는다,3.1
몸캠,가정형편별,중위,문제가 된다,11
몸캠,가정형편별,중위,매우 문제가 된다,85.1
몸캠,가정형편별,하위,전혀 문제가 되지 않는다,1.4
몸캠,가정형편별,하위,문제가 되지 않는다,2.8
몸캠,가정형편별,하위,문제가 된다,10.5
몸캠,가정형편별,하위,매우 문제가 된다,85.4
불법영상유포물,전체,소계,전혀 문제가 되지 않는다,0.9
불법영상유포물,전체,소계,문제가 되지 않는다,3.3
불법영상유포물,전체,소계,문제가 된다,10.3
불법영상유포물,전체,소계,매우 문제가 된다,85.4
불법영상유포물,성별,남학생,전혀 문제가 되지 않는다,0.9
불법영상유포물,성별,남학생,문제가 되지 않는다,2.9
불법영상유포물,성별,남학생,문제가 된다,10.8
불법영상유포물,성별,남학생,매우 문제가 된다,85.4
불법영상유포물,성별,여학생,전혀 문제가 되지 않는다,0.8
불법영상유포물,성별,여학생,문제가 되지 않는다,3.8
불법영상유포물,성별,여학생,문제가 된다,9.9
불법영상유포물,성별,여학생,매우 문제가 된다,85.5
불법영상유포물,학령별,초등학교,전혀 문제가 되지 않는다,1.5
불법영상유포물,학령별,초등학교,문제가 되지 않는다,3.2
불법영상유포물,학령별,초등학교,문제가 된다,9.9
불법영상유포물,학령별,초등학교,매우 문제가 된다,85.3
불법영상유포물,학령별,중학교,전혀 문제가 되지 않는다,0.5
불법영상유포물,학령별,중학교,문제가 되지 않는다,3.1
불법영상유포물,학령별,중학교,문제가 된다,9.1
불법영상유포물,학령별,중학교,매우 문제가 된다,87.3
불법영상유포물,학령별,고등학교,전혀 문제가 되지 않는다,0.5
불법영상유포물,학령별,고등학교,문제가 되지 않는다,3.7
불법영상유포물,학령별,고등학교,문제가 된다,12
불법영상유포물,학령별,고등학교,매우 문제가 된다,83.7
불법영상유포물,권역별,수도권,전혀 문제가 되지 않는다,0.8
불법영상유포물,권역별,수도권,문제가 되지 않는다,3.9
불법영상유포물,권역별,수도권,문제가 된다,10.7
불법영상유포물,권역별,수도권,매우 문제가 된다,84.6
불법영상유포물,권역별,충청권,전혀 문제가 되지 않는다,0.7
불법영상유포물,권역별,충청권,문제가 되지 않는다,2.5
불법영상유포물,권역별,충청권,문제가 된다,10.7
불법영상유포물,권역별,충청권,매우 문제가 된다,86.2
불법영상유포물,권역별,호남권,전혀 문제가 되지 않는다,1.3
불법영상유포물,권역별,호남권,문제가 되지 않는다,3.3
불법영상유포물,권역별,호남권,문제가 된다,8.7
불법영상유포물,권역별,호남권,매우 문제가 된다,86.7
불법영상유포물,권역별,동북권,전혀 문제가 되지 않는다,0.7
불법영상유포물,권역별,동북권,문제가 되지 않는다,3.7
불법영상유포물,권역별,동북권,문제가 된다,10.4
불법영상유포물,권역별,동북권,매우 문제가 된다,85.2
불법영상유포물,권역별,동남권,전혀 문제가 되지 않는다,1.2
불법영상유포물,권역별,동남권,문제가 되지 않는다,2.1
불법영상유포물,권역별,동남권,문제가 된다,10.1
불법영상유포물,권역별,동남권,매우 문제가 된다,86.7
불법영상유포물,인터넷 이용 시간별,1시간 미만,전혀 문제가 되지 않는다,1.7
불법영상유포물,인터넷 이용 시간별,1시간 미만,문제가 되지 않는다,2.6
불법영상유포물,인터넷 이용 시간별,1시간 미만,문제가 된다,11.7
불법영상유포물,인터넷 이용 시간별,1시간 미만,매우 문제가 된다,84
불법영상유포물,인터넷 이용 시간별,1~2시간 미만,전혀 문제가 되지 않는다,1.1
불법영상유포물,인터넷 이용 시간별,1~2시간 미만,문제가 되지 않는다,5.2
불법영상유포물,인터넷 이용 시간별,1~2시간 미만,문제가 된다,11.4
불법영상유포물,인터넷 이용 시간별,1~2시간 미만,매우 문제가 된다,82.2
불법영상유포물,인터넷 이용 시간별,2~3시간 미만,전혀 문제가 되지 않는다,0.7
불법영상유포물,인터넷 이용 시간별,2~3시간 미만,문제가 되지 않는다,2.8
불법영상유포물,인터넷 이용 시간별,2~3시간 미만,문제가 된다,10.6
불법영상유포물,인터넷 이용 시간별,2~3시간 미만,매우 문제가 된다,85.8
불법영상유포물,인터넷 이용 시간별,3~4시간 미만,전혀 문제가 되지 않는다,1
불법영상유포물,인터넷 이용 시간별,3~4시간 미만,문제가 되지 않는다,3.2
불법영상유포물,인터넷 이용 시간별,3~4시간 미만,문제가 된다,10.1
불법영상유포물,인터넷 이용 시간별,3~4시간 미만,매우 문제가 된다,85.7
불법영상유포물,인터넷 이용 시간별,4시간 이상,전혀 문제가 되지 않는다,0.5
불법영상유포물,인터넷 이용 시간별,4시간 이상,문제가 되지 않는다,2.4
불법영상유포물,인터넷 이용 시간별,4시간 이상,문제가 된다,8.7
불법영상유포물,인터넷 이용 시간별,4시간 이상,매우 문제가 된다,88.4
불법영상유포물,가정형편별,상위,전혀 문제가 되지 않는다,1
불법영상유포물,가정형편별,상위,문제가 되지 않는다,3.4
불법영상유포물,가정형편별,상위,문제가 된다,9.5
불법영상유포물,가정형편별,상위,매우 문제가 된다,86.1
불법영상유포물,가정형편별,중위,전혀 문제가 되지 않는다,0.8
불법영상유포물,가정형편별,중위,문제가 되지 않는다,3.4
불법영상유포물,가정형편별,중위,문제가 된다,10.7
불법영상유포물,가정형편별,중위,매우 문제가 된다,85.1
불법영상유포물,가정형편별,하위,전혀 문제가 되지 않는다,0.5
불법영상유포물,가정형편별,하위,문제가 되지 않는다,3.1
불법영상유포물,가정형편별,하위,문제가 된다,12.8
불법영상유포물,가정형편별,하위,매우 문제가 된다,83.7
지인능욕,성별,남학생,전혀 문제가 되지 않는다,0.9
지인능욕,성별,남학생,문제가 되지 않는다,2.8
지인능욕,성별,남학생,문제가 된다,11.9
지인능욕,성별,남학생,매우 문제가 된다,84.4
지인능욕,성별,여학생,전혀 문제가 되지 않는다,1
지인능욕,성별,여학생,문제가 되지 않는다,3
지인능욕,성별,여학생,문제가 된다,10.7
지인능욕,성별,여학생,매우 문제가 된다,85.3
지인능욕,학령별,초등학교,전혀 문제가 되지 않는다,1.4
지인능욕,학령별,초등학교,문제가 되지 않는다,2.6
지인능욕,학령별,초등학교,문제가 된다,10.9
지인능욕,학령별,초등학교,매우 문제가 된다,85.1
지인능욕,학령별,중학교,전혀 문제가 되지 않는다,0.7
지인능욕,학령별,중학교,문제가 되지 않는다,2.9
지인능욕,학령별,중학교,문제가 된다,9.6
지인능욕,학령별,중학교,매우 문제가 된다,86.8
지인능욕,학령별,고등학교,전혀 문제가 되지 않는다,0.8
지인능욕,학령별,고등학교,문제가 되지 않는다,3.1
지인능욕,학령별,고등학교,문제가 된다,13.6
지인능욕,학령별,고등학교,매우 문제가 된다,82.4
지인능욕,권역별,수도권,전혀 문제가 되지 않는다,0.7
지인능욕,권역별,수도권,문제가 되지 않는다,3.2
지인능욕,권역별,수도권,문제가 된다,11.7
지인능욕,권역별,수도권,매우 문제가 된다,84.4
지인능욕,권역별,충청권,전혀 문제가 되지 않는다,0.8
지인능욕,권역별,충청권,문제가 되지 않는다,1.8
지인능욕,권역별,충청권,문제가 된다,13.1
지인능욕,권역별,충청권,매우 문제가 된다,84.3
지인능욕,권역별,호남권,전혀 문제가 되지 않는다,1.4
지인능욕,권역별,호남권,문제가 되지 않는다,2.4
지인능욕,권역별,호남권,문제가 된다,9.9
지인능욕,권역별,호남권,매우 문제가 된다,86.3
지인능욕,권역별,동북권,전혀 문제가 되지 않는다,1.3
지인능욕,권역별,동북권,문제가 되지 않는다,3.3
지인능욕,권역별,동북권,문제가 된다,11.1
지인능욕,권역별,동북권,매우 문제가 된다,84.3
지인능욕,권역별,동남권,전혀 문제가 되지 않는다,1.3
지인능욕,권역별,동남권,문제가 되지 않는다,2.6
지인능욕,권역별,동남권,문제가 된다,10.4
지인능욕,권역별,동남권,매우 문제가 된다,85.6
지인능욕,인터넷 이용 시간별,1시간 미만,전혀 문제가 되지 않는다,2
지인능욕,인터넷 이용 시간별,1시간 미만,문제가 되지 않는다,2.8
지인능욕,인터넷 이용 시간별,1시간 미만,문제가 된다,10.4
지인능욕,인터넷 이용 시간별,1시간 미만,매우 문제가 된다,84.9
지인능욕,인터넷 이용 시간별,1~2시간 미만,전혀 문제가 되지 않는다,1.1
지인능욕,인터넷 이용 시간별,1~2시간 미만,문제가 되지 않는다,3.9
지인능욕,인터넷 이용 시간별,1~2시간 미만,문제가 된다,13.8
지인능욕,인터넷 이용 시간별,1~2시간 미만,매우 문제가 된다,81.2
지인능욕,인터넷 이용 시간별,2~3시간 미만,전혀 문제가 되지 않는다,0.8
지인능욕,인터넷 이용 시간별,2~3시간 미만,문제가 되지 않는다,2.4
지인능욕,인터넷 이용 시간별,2~3시간 미만,문제가 된다,11.8
지인능욕,인터넷 이용 시간별,2~3시간 미만,매우 문제가 된다,84.9
지인능욕,인터넷 이용 시간별,3~4시간 미만,전혀 문제가 되지 않는다,1.1
지인능욕,인터넷 이용 시간별,3~4시간 미만,문제가 되지 않는다,2.9
지인능욕,인터넷 이용 시간별,3~4시간 미만,문제가 된다,11
지인능욕,인터넷 이용 시간별,3~4시간 미만,매우 문제가 된다,85.1
지인능욕,인터넷 이용 시간별,4시간 이상,전혀 문제가 되지 않는다,0.6
지인능욕,인터넷 이용 시간별,4시간 이상,문제가 되지 않는다,2.4
지인능욕,인터넷 이용 시간별,4시간 이상,문제가 된다,9
지인능욕,인터넷 이용 시간별,4시간 이상,매우 문제가 된다,88
지인능욕,가정형편별,상위,전혀 문제가 되지 않는다,1
지인능욕,가정형편별,상위,문제가 되지 않는다,2.8
지인능욕,가정형편별,상위,문제가 된다,10.9
지인능욕,가정형편별,상위,매우 문제가 된다,85.3
지인능욕,가정형편별,중위,전혀 문제가 되지 않는다,1
지인능욕,가정형편별,중위,문제가 되지 않는다,2.9
지인능욕,가정형편별,중위,문제가 된다,11.6
지인능욕,가정형편별,중위,매우 문제가 된다,84.6
지인능욕,가정형편별,하위,전혀 문제가 되지 않는다,0.9
지인능욕,가정형편별,하위,문제가 되지 않는다,3
지인능욕,가정형편별,하위,문제가 된다,12.5
지인능욕,가정형편별,하위,매우 문제가 된다,83.5
